odb8_level	odb8_og_id	protein_id	odb8_prot_id	organism	uniprot_description
6854:Arachnida	EOG80044Q	tetur17g02920.1	32264:00309d	Tetranychus urticae	
6854:Arachnida	EOG80044Q	tetur32g00530.1	32264:004074	Tetranychus urticae	
6854:Arachnida	EOG80044Q	999559.p	34638:00099c	Metaseiulus occidentalis	
6854:Arachnida	EOG80044Q	CUFF.46258.1_Ste	407821:002cb7	Stegodyphus mimosarum	
6854:Arachnida	EOG80044Q	CUFF.62299.1_Ste	407821:003613	Stegodyphus mimosarum	
6854:Arachnida	EOG80044Q	ISCW008295-PA	6945:001acf	Ixodes scapularis	
6854:Arachnida	EOG80044R	tetur15g02300.1	32264:002d39	Tetranychus urticae	
6854:Arachnida	EOG80044R	1148116.p	34638:001553	Metaseiulus occidentalis	
6854:Arachnida	EOG80044R	CUFF.64194.1_Ste	407821:0056d0	Stegodyphus mimosarum	
6854:Arachnida	EOG80044R	ISCW012970-PA	6945:0029e3	Ixodes scapularis	
6854:Arachnida	EOG80044S	tetur02g08170.1	32264:000960	Tetranychus urticae	
6854:Arachnida	EOG80044S	CUFF.48426.1_Ste	407821:00104a	Stegodyphus mimosarum	
6854:Arachnida	EOG80044S	ISCW014915-PA	6945:003021	Ixodes scapularis	
6854:Arachnida	EOG80044T	tetur29g01540.1	32264:003e63	Tetranychus urticae	
6854:Arachnida	EOG80044T	795538.p	34638:002abf	Metaseiulus occidentalis	
6854:Arachnida	EOG80044T	CUFF.15149.1_Ste	407821:0048d7	Stegodyphus mimosarum	
6854:Arachnida	EOG80044T	ISCW005373-PA	6945:001155	Ixodes scapularis	
6854:Arachnida	EOG80044T	ISCW023976-PA	6945:004c50	Ixodes scapularis	
6854:Arachnida	EOG80044V	tetur08g06580.1	32264:001ee4	Tetranychus urticae	
6854:Arachnida	EOG80044V	tetur08g06600.1	32264:001ee6	Tetranychus urticae	
6854:Arachnida	EOG80044V	1143642.p	34638:000391	Metaseiulus occidentalis	
6854:Arachnida	EOG80044V	CUFF.30156.1_Ste	407821:003beb	Stegodyphus mimosarum	
6854:Arachnida	EOG80044V	ISCW011986-PA	6945:0026c7	Ixodes scapularis	
6854:Arachnida	EOG80044W	tetur06g02890.1	32264:0017f3	Tetranychus urticae	
6854:Arachnida	EOG80044W	CUFF.8520.1_Ste	407821:00651c	Stegodyphus mimosarum	
6854:Arachnida	EOG80044W	ISCW020339-PA	6945:004112	Ixodes scapularis	
6854:Arachnida	EOG80044X	1015872.p	34638:003f14	Metaseiulus occidentalis	
6854:Arachnida	EOG80044X	CUFF.34173.1_Ste	407821:004080	Stegodyphus mimosarum	
6854:Arachnida	EOG80044X	ISCW008252-PA	6945:001aa9	Ixodes scapularis	Protein KRTCAP2 homolog
6854:Arachnida	EOG80044Z	tetur01g03770.1	32264:00016e	Tetranychus urticae	
6854:Arachnida	EOG80044Z	CUFF.34713.1_Ste	407821:0029b1	Stegodyphus mimosarum	
6854:Arachnida	EOG80044Z	ISCW010926-PA	6945:002357	Ixodes scapularis	
6854:Arachnida	EOG800450	tetur29g00600.1	32264:003e09	Tetranychus urticae	
6854:Arachnida	EOG800450	CUFF.47151.1_Ste	407821:001d10	Stegodyphus mimosarum	
6854:Arachnida	EOG800450	ISCW006355-PA	6945:00148c	Ixodes scapularis	
6854:Arachnida	EOG800451	tetur06g06330.1	32264:001934	Tetranychus urticae	
6854:Arachnida	EOG800451	739110.p	34638:002acc	Metaseiulus occidentalis	
6854:Arachnida	EOG800451	ISCW021931-PA	6945:0045fb	Ixodes scapularis	
6854:Arachnida	EOG800452	tetur19g03461.1	32264:0033e9	Tetranychus urticae	
6854:Arachnida	EOG800452	1144104.p	34638:0000db	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1144147.p	34638:000135	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1145073.p	34638:00019b	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1146321.p	34638:00036f	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1147858.p	34638:000486	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1152224.p	34638:000552	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1152258.p	34638:00060a	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1144768.p	34638:0006b3	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1149286.p	34638:00073b	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1145348.p	34638:00083d	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1155032.p	34638:000a99	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1154413.p	34638:000b32	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1148928.p	34638:000c04	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1148759.p	34638:000c50	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1146189.p	34638:000c6b	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1151645.p	34638:000c9e	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1156765.p	34638:000d81	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1146718.p	34638:000df0	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1156742.p	34638:000e96	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1152676.p	34638:000fbe	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1153203.p	34638:0011a5	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1157554.p	34638:00143f	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1155266.p	34638:00184a	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1156014.p	34638:0018ea	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1148959.p	34638:0018f2	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1154240.p	34638:001903	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1149307.p	34638:001a60	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1149548.p	34638:001bf7	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1156310.p	34638:001c88	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1156374.p	34638:001d8f	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1154571.p	34638:001dc0	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1150122.p	34638:001f8d	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1151404.p	34638:00237b	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1151650.p	34638:002648	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1152674.p	34638:002ab3	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1152675.p	34638:002ab4	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1152714.p	34638:002bb2	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1153186.p	34638:002d28	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1153291.p	34638:002d4d	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1153644.p	34638:002e91	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1155246.p	34638:0033e4	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1155757.p	34638:003529	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1155979.p	34638:0036b5	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	1156950.p	34638:00410d	Metaseiulus occidentalis	
6854:Arachnida	EOG800452	gene.g56639.t1.1_Ste	407821:00073b	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g31235.t1.1_Ste	407821:00091c	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g74283.t1.1_Ste	407821:001508	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g64474.t1.1_Ste	407821:0015a1	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g69275.t1.1_Ste	407821:001a07	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g33590.t1.1_Ste	407821:002245	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g11632.t1.1_Ste	407821:0023ad	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g12786.t1.1_Ste	407821:002793	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g52220.t1.1_Ste	407821:002ca7	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g858.t1.1_Ste	407821:003084	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	CUFF.61573.1_Ste	407821:00312d	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g12206.t1.1_Ste	407821:00335a	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g58276.t1.1_Ste	407821:003902	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g69870.t1.1_Ste	407821:003aeb	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g10524.t1.1_Ste	407821:003b5b	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g60361.t1.1_Ste	407821:003c07	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g23715.t1.1_Ste	407821:003c3c	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g64427.t1.1_Ste	407821:003d89	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g61860.t1.1_Ste	407821:00412d	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g29524.t1.1_Ste	407821:004cc7	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g25839.t1.1_Ste	407821:005f79	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g23423.t1.1_Ste	407821:006464	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	gene.g29290.t1.1_Ste	407821:0068ef	Stegodyphus mimosarum	
6854:Arachnida	EOG800452	ISCW007443-PA	6945:001802	Ixodes scapularis	
6854:Arachnida	EOG800453	1152787.p	34638:002fd9	Metaseiulus occidentalis	
6854:Arachnida	EOG800453	ISCW011018-PA	6945:0023a3	Ixodes scapularis	
6854:Arachnida	EOG800454	1149317.p	34638:001abf	Metaseiulus occidentalis	
6854:Arachnida	EOG800454	ISCW007572-PA	6945:00186f	Ixodes scapularis	
6854:Arachnida	EOG800455	CUFF.62480.1_Ste	407821:003e16	Stegodyphus mimosarum	
6854:Arachnida	EOG800455	ISCW000682-PA	6945:000231	Ixodes scapularis	
6854:Arachnida	EOG800456	CUFF.73468.1_Ste	407821:001b6b	Stegodyphus mimosarum	
6854:Arachnida	EOG800456	ISCW014470-PA	6945:002eaf	Ixodes scapularis	
6854:Arachnida	EOG800457	tetur04g00030.1	32264:000fc7	Tetranychus urticae	
6854:Arachnida	EOG800457	tetur14g02820.1	32264:002bc0	Tetranychus urticae	
6854:Arachnida	EOG800457	CUFF.47416.1_Ste	407821:004bf5	Stegodyphus mimosarum	
6854:Arachnida	EOG800458	tetur08g00300.1	32264:001c86	Tetranychus urticae	
6854:Arachnida	EOG800458	ISCW013614-PA	6945:002bfc	Ixodes scapularis	
6854:Arachnida	EOG800459	717420.p	34638:004531	Metaseiulus occidentalis	
6854:Arachnida	EOG800459	CUFF.37244.1_Ste	407821:003444	Stegodyphus mimosarum	
6854:Arachnida	EOG800459	CUFF.7452.2_Ste	407821:005837	Stegodyphus mimosarum	
6854:Arachnida	EOG800459	CUFF.56868.1_Ste	407821:006378	Stegodyphus mimosarum	
6854:Arachnida	EOG80045B	tetur14g02070.1	32264:002b75	Tetranychus urticae	
6854:Arachnida	EOG80045B	1152467.p	34638:002cdd	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CB	tetur03g03320.1	32264:000d48	Tetranychus urticae	
6854:Arachnida	EOG8030CB	833049.p	34638:00205a	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CB	CUFF.47157.1_Ste	407821:001d0c	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CB	CUFF.47150.1_Ste	407821:001d11	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CB	ISCW009279-PA	6945:001dfb	Ixodes scapularis	
6854:Arachnida	EOG8030CC	tetur40g00260.1	32264:004497	Tetranychus urticae	Diacylglycerol kinase (2.7.1.107)
6854:Arachnida	EOG8030CC	tetur95g00010.1	32264:00471d	Tetranychus urticae	
6854:Arachnida	EOG8030CC	CUFF.76928.1_Ste	407821:001ddb	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CC	ISCW013133-PA	6945:002a64	Ixodes scapularis	Diacylglycerol kinase (2.7.1.107)
6854:Arachnida	EOG8030CD	tetur22g01760.1	32264:00372f	Tetranychus urticae	
6854:Arachnida	EOG8030CD	1150571.p	34638:002297	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CD	CUFF.52036.1_Ste	407821:005b1a	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CD	ISCW016192-PA	6945:003435	Ixodes scapularis	
6854:Arachnida	EOG8030CF	tetur11g01350.1	32264:0024fa	Tetranychus urticae	
6854:Arachnida	EOG8030CF	1052962.p	34638:000953	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CF	CUFF.35618.1_Ste	407821:000275	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CF	ISCW008655-PA	6945:001bfd	Ixodes scapularis	
6854:Arachnida	EOG8030CG	tetur23g00430.1	32264:0037d5	Tetranychus urticae	eIF3e
6854:Arachnida	EOG8030CG	879730.p	34638:00280f	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CG	CUFF.73360.1_Ste	407821:001900	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CG	ISCW023004-PA	6945:004947	Ixodes scapularis	eIF3e
6854:Arachnida	EOG8030CH	tetur06g05260.1	32264:0018d1	Tetranychus urticae	
6854:Arachnida	EOG8030CH	909379.p	34638:0024d4	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CH	CUFF.56657.2_Ste	407821:00615a	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CH	ISCW019000-PA	6945:003ce0	Ixodes scapularis	
6854:Arachnida	EOG8030CJ	tetur05g02700.1	32264:001463	Tetranychus urticae	
6854:Arachnida	EOG8030CJ	tetur44g00200.1	32264:00455a	Tetranychus urticae	
6854:Arachnida	EOG8030CJ	832985.p	34638:0031e2	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CJ	CUFF.35062.2_Ste	407821:000ea3	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CJ	ISCW010122-PA	6945:0020b2	Ixodes scapularis	
6854:Arachnida	EOG8030CK	tetur02g13360.1	32264:000b4a	Tetranychus urticae	
6854:Arachnida	EOG8030CK	tetur02g13570.1	32264:000b5f	Tetranychus urticae	Lipase
6854:Arachnida	EOG8030CK	tetur03g04340.1	32264:000dac	Tetranychus urticae	Lipase
6854:Arachnida	EOG8030CK	tetur04g04540.1	32264:00116f	Tetranychus urticae	Lipase
6854:Arachnida	EOG8030CK	tetur05g00990.1	32264:0013bd	Tetranychus urticae	
6854:Arachnida	EOG8030CK	tetur05g01660.1	32264:001400	Tetranychus urticae	
6854:Arachnida	EOG8030CK	tetur09g06700.1	32264:00220c	Tetranychus urticae	Lipase
6854:Arachnida	EOG8030CK	tetur10g00730.1	32264:00227c	Tetranychus urticae	
6854:Arachnida	EOG8030CK	tetur10g00740.1	32264:00227d	Tetranychus urticae	
6854:Arachnida	EOG8030CK	tetur10g00750.1	32264:00227e	Tetranychus urticae	Lipase
6854:Arachnida	EOG8030CK	tetur10g00760.1	32264:00227f	Tetranychus urticae	Lipase
6854:Arachnida	EOG8030CK	tetur11g02000.1	32264:00253a	Tetranychus urticae	
6854:Arachnida	EOG8030CK	tetur17g03230.1	32264:0030ba	Tetranychus urticae	
6854:Arachnida	EOG8030CK	tetur21g01600.1	32264:0035dd	Tetranychus urticae	Lipase
6854:Arachnida	EOG8030CK	tetur26g00920.1	32264:003aee	Tetranychus urticae	
6854:Arachnida	EOG8030CK	777875.p	34638:00463e	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CK	CUFF.38638.1_Ste	407821:0020e4	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CK	CUFF.64297.1_Ste	407821:0049cc	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CK	ISCW012188-PA	6945:002773	Ixodes scapularis	
6854:Arachnida	EOG8030CK	ISCW022588-PA	6945:00480b	Ixodes scapularis	
6854:Arachnida	EOG8030CK	ISCW023846-PA	6945:004bec	Ixodes scapularis	
6854:Arachnida	EOG8030CM	tetur35g00450.1	32264:004272	Tetranychus urticae	
6854:Arachnida	EOG8030CM	1150982.p	34638:00243d	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CM	CUFF.57398.1_Ste	407821:002969	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CM	ISCW020142-PA	6945:00406d	Ixodes scapularis	
6854:Arachnida	EOG8030CN	tetur19g00070.1	32264:0032a7	Tetranychus urticae	
6854:Arachnida	EOG8030CN	1153584.p	34638:003332	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CN	CUFF.78484.1_Ste	407821:00288a	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CN	ISCW011006-PA	6945:002399	Ixodes scapularis	
6854:Arachnida	EOG8030CP	tetur19g00830.1	32264:0032f2	Tetranychus urticae	
6854:Arachnida	EOG8030CP	tetur19g00890.1	32264:0032f8	Tetranychus urticae	
6854:Arachnida	EOG8030CP	1155576.p	34638:003d91	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CP	CUFF.11377.3_Ste	407821:000ffd	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CP	ISCW000903-PA	6945:0002e1	Ixodes scapularis	
6854:Arachnida	EOG8030CQ	tetur02g10220.1	32264:000a24	Tetranychus urticae	
6854:Arachnida	EOG8030CQ	892430.p	34638:002c99	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CQ	CUFF.47246.1_Ste	407821:002ee7	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CQ	ISCW023960-PA	6945:004c44	Ixodes scapularis	
6854:Arachnida	EOG8030CR	tetur11g04310.1	32264:002619	Tetranychus urticae	
6854:Arachnida	EOG8030CR	700284.p	34638:004656	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CR	CUFF.69106.1_Ste	407821:002fdc	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CR	CUFF.67326.1_Ste	407821:0062d1	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CR	ISCW014009-PA	6945:002d3f	Ixodes scapularis	
6854:Arachnida	EOG8030CS	tetur29g00580.1	32264:003e07	Tetranychus urticae	
6854:Arachnida	EOG8030CS	1152136.p	34638:002a4f	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CS	CUFF.5157.1_Ste	407821:005614	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CS	ISCW016652-PA	6945:0035a6	Ixodes scapularis	
6854:Arachnida	EOG8030CT	tetur03g06560.1	32264:000e73	Tetranychus urticae	
6854:Arachnida	EOG8030CT	1145367.p	34638:0008c9	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CT	CUFF.78969.1_Ste	407821:0050b1	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CT	ISCW009773-PA	6945:001f97	Ixodes scapularis	
6854:Arachnida	EOG8030CV	tetur02g11090.1	32264:000a75	Tetranychus urticae	
6854:Arachnida	EOG8030CV	1152072.p	34638:0029aa	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CV	CUFF.54678.1_Ste	407821:004d1b	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CV	ISCW017007-PA	6945:0036a4	Ixodes scapularis	
6854:Arachnida	EOG8030CW	tetur05g07810.1	32264:00164c	Tetranychus urticae	
6854:Arachnida	EOG8030CW	739091.p	34638:0031d5	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CW	CUFF.45853.1_Ste	407821:0036b6	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CW	ISCW020307-PA	6945:0040f5	Ixodes scapularis	
6854:Arachnida	EOG8030CX	tetur18g01560.1	32264:0031b0	Tetranychus urticae	
6854:Arachnida	EOG8030CX	832969.p	34638:0041e0	Metaseiulus occidentalis	
6854:Arachnida	EOG8030CX	CUFF.48787.1_Ste	407821:000ee1	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CZ	tetur13g03570.1	32264:002a2c	Tetranychus urticae	
6854:Arachnida	EOG8030CZ	CUFF.31832.1_Ste	407821:00222a	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CZ	CUFF.80077.1_Ste	407821:0051d1	Stegodyphus mimosarum	
6854:Arachnida	EOG8030CZ	ISCW009566-PA	6945:001ef1	Ixodes scapularis	
6854:Arachnida	EOG8030D0	tetur04g09190.1	32264:00132b	Tetranychus urticae	
6854:Arachnida	EOG8030D0	908658.p	34638:0021e6	Metaseiulus occidentalis	
6854:Arachnida	EOG8030D0	1122375.p	34638:002255	Metaseiulus occidentalis	
6854:Arachnida	EOG8030D0	CUFF.62126.2_Ste	407821:0003e4	Stegodyphus mimosarum	
6854:Arachnida	EOG8030D0	CUFF.56502.1_Ste	407821:001e53	Stegodyphus mimosarum	
6854:Arachnida	EOG8030D0	ISCW000567-PA	6945:0001d2	Ixodes scapularis	
6854:Arachnida	EOG8030D0	ISCW003456-PA	6945:000b2b	Ixodes scapularis	
6854:Arachnida	EOG8030D0	ISCW007956-PA	6945:0019b1	Ixodes scapularis	
6854:Arachnida	EOG8030D1	CUFF.63553.1_Ste	407821:0059f7	Stegodyphus mimosarum	
6854:Arachnida	EOG8030D1	ISCW022720-PA	6945:004876	Ixodes scapularis	Ankyrin repeat domain protein
6854:Arachnida	EOG8030D2	tetur09g02010.1	32264:00204f	Tetranychus urticae	
6854:Arachnida	EOG8030D2	CUFF.67155.1_Ste	407821:002e8b	Stegodyphus mimosarum	
6854:Arachnida	EOG8030D2	ISCW007297-PA	6945:001783	Ixodes scapularis	
6854:Arachnida	EOG8030D3	CUFF.82596.1_Ste	407821:00426e	Stegodyphus mimosarum	
6854:Arachnida	EOG8030D3	ISCW021420-PA	6945:004461	Ixodes scapularis	
6854:Arachnida	EOG8030D4	CUFF.62648.1_Ste	407821:003b1c	Stegodyphus mimosarum	
6854:Arachnida	EOG8030D4	ISCW002030-PA	6945:00067f	Ixodes scapularis	
6854:Arachnida	EOG8030D5	tetur02g04840.1	32264:000823	Tetranychus urticae	
6854:Arachnida	EOG8030D5	tetur04g08660.1	32264:0012fb	Tetranychus urticae	Caspase
6854:Arachnida	EOG8030D5	1145400.p	34638:000880	Metaseiulus occidentalis	
6854:Arachnida	EOG8030D5	1146564.p	34638:000f65	Metaseiulus occidentalis	
6854:Arachnida	EOG8030D5	ISCW014750-PA	6945:002f96	Ixodes scapularis	
6854:Arachnida	EOG8030D6	tetur01g03580.1	32264:00015b	Tetranychus urticae	
6854:Arachnida	EOG8030D6	tetur04g00720.1	32264:000fff	Tetranychus urticae	
6854:Arachnida	EOG8030D6	tetur05g04060.1	32264:0014e1	Tetranychus urticae	
6854:Arachnida	EOG8030D6	1149077.p	34638:000032	Metaseiulus occidentalis	
6854:Arachnida	EOG8030D6	1124263.p	34638:000cf3	Metaseiulus occidentalis	
6854:Arachnida	EOG8030D6	1147485.p	34638:001225	Metaseiulus occidentalis	
6854:Arachnida	EOG8030D6	1056690.p	34638:001349	Metaseiulus occidentalis	
6854:Arachnida	EOG8030D6	998873.p	34638:001c4b	Metaseiulus occidentalis	
